image,fine_label,coarse_label
bos_taurus_s_000507.png,19,11
stegosaurus_s_000125.png,29,15
mcintosh_s_000643.png,0,4
altar_boy_s_001435.png,11,14
cichlid_s_000031.png,1,1
phone_s_002161.png,86,5
car_train_s_000043.png,90,18
beaker_s_000604.png,28,3
fog_s_000397.png,23,10
rogue_elephant_s_000421.png,31,11
computer_keyboard_s_000757.png,39,5
willow_tree_s_000645.png,96,17
sunflower_s_000549.png,82,2
palace_s_000759.png,17,9
adriatic_s_001782.png,71,10
computer_keyboard_s_001277.png,39,5
bike_s_000682.png,8,18
wolf_pup_s_001323.png,97,8
squirrel_s_002467.png,80,16
sea_s_000678.png,71,10
shrew_s_002233.png,74,16
pine_tree_s_000087.png,59,17
rose_s_000373.png,70,2
surveillance_system_s_000769.png,87,5
pine_s_001533.png,59,17
table_s_000897.png,84,6
opossum_s_001237.png,64,12
quercus_alba_s_000257.png,52,17
leopard_s_000414.png,42,8
possum_s_002195.png,64,12
bike_s_000127.png,8,18
balmoral_castle_s_000361.png,17,9
acer_saccharinum_s_000646.png,47,17
lapin_s_000916.png,65,16
chimp_s_001419.png,21,11
clock_s_002291.png,22,5
streetcar_s_000663.png,81,19
male_child_s_000800.png,11,14
oriental_cockroach_s_000650.png,24,7
breakfast_table_s_001135.png,84,6
coluber_constrictor_s_000067.png,78,15
lobster_s_000034.png,45,13
mount_s_002852.png,49,10
wolf_pup_s_001277.png,97,8
areca_s_000244.png,56,17
skyscraper_s_000180.png,76,9
boy_s_001150.png,11,14
train_s_001640.png,90,18
tractor_s_001723.png,89,19
snake_s_000046.png,78,15
shortfin_mako_s_000172.png,73,1
butterfly_s_001371.png,14,7
television_s_000158.png,87,5
beer_bottle_s_001063.png,9,3
adriatic_s_002075.png,71,10
honeybee_s_001911.png,6,7
red_maple_s_000275.png,47,17
reclining_chair_s_001157.png,20,6
black_woman_s_001310.png,98,14
silver_maple_s_001664.png,47,17
syrian_hamster_s_000340.png,36,16
otter_s_000259.png,55,0
seal_s_001773.png,72,0
panthera_leo_s_000068.png,43,8
morchella_esculenta_s_000159.png,51,4
female_child_s_000292.png,35,14
bell_pepper_s_001100.png,83,4
forest_s_001702.png,33,10
crocodile_s_002505.png,27,15
valencia_orange_s_000087.png,53,4
tulip_s_000253.png,92,2
mus_musculus_s_000005.png,50,16
arabian_camel_s_000259.png,15,11
tractor_s_000104.png,89,19
hamster_s_001554.png,36,16
caterpillar_s_001005.png,18,7
bulldozer_s_000433.png,89,19
man_s_000841.png,46,14
woods_s_000031.png,33,10
leopard_s_000033.png,42,8
keyboard_s_000092.png,39,5
possum_s_000413.png,64,12
skunk_s_000825.png,75,12
kangaroo_s_002457.png,38,11
cirrocumulus_s_001397.png,23,10
panthera_pardus_s_000593.png,42,8
raccoon_s_002740.png,66,12
garden_snail_s_000513.png,77,13
mount_s_000051.png,49,10
caterpillar_s_000450.png,18,7
man_s_000737.png,46,14
camel_s_000876.png,15,11
girl_s_001964.png,35,14
minuteman_s_000073.png,69,19
fin_whale_s_000110.png,95,0
sweet_pepper_s_000921.png,83,4
manual-skunk007.png,75,12
nematode_s_000034.png,99,13
shark_s_002026.png,73,1
marine_turtle_s_000339.png,93,15
river_otter_s_000028.png,55,0
computer_keyboard_s_000598.png,39,5
castor_fiber_s_000167.png,4,0
timber_wolf_s_000489.png,97,8
dessert_plate_s_000192.png,61,3
turtle_s_000005.png,93,15
mushroom_s_001005.png,51,4
icbm_s_000392.png,69,19
wine_palm_s_000123.png,56,17
breakfast_table_s_000153.png,84,6
pinon_pine_s_001228.png,59,17
didelphis_virginiana_s_000042.png,64,12
armoire_s_000081.png,94,6
beaver_s_001511.png,4,0
boy_s_000081.png,11,14
forest_s_001481.png,33,10
route_s_002291.png,68,9
kangaroo_s_001956.png,38,11
chaise_s_001222.png,20,6
forest_s_000144.png,33,10
fox_s_001040.png,34,12
flatfish_s_000465.png,32,1
man_s_000985.png,46,14
bitter_orange_s_000905.png,53,4
tiger_s_001271.png,88,8
eagle_ray_s_000171.png,67,1
rose_s_001917.png,70,2
possum_s_000350.png,64,12
temple_orange_s_000014.png,53,4
opossum_s_000065.png,64,12
cycle_s_002598.png,8,18
salix_alba_s_000332.png,96,17
television_system_s_001769.png,87,5
dolphin_s_000421.png,30,0
lounge_chair_s_001124.png,20,6
atlantic_bottlenose_dolphin_s_000021.png,30,0
raccoon_s_001121.png,66,12
cattle_s_000366.png,19,11
wtc_s_002253.png,76,9
television_s_000053.png,87,5
oak_tree_s_000106.png,52,17
poppy_s_001932.png,62,2
missy_s_000260.png,35,14
hedgehog_s_000950.png,63,12
discharge_lamp_s_001121.png,40,5
castor_canadensis_s_000795.png,4,0
worm_s_001047.png,99,13
hedgehog_s_000483.png,63,12
masked_shrew_s_000089.png,74,16
sour_orange_s_001216.png,53,4
crab_s_001407.png,26,13
whale_s_000867.png,95,0
minibike_s_000824.png,48,18
nile_crocodile_s_001013.png,27,15
forest_s_001851.png,33,10
dinosaur_s_002033.png,29,15
keyboard_s_001222.png,39,5
argiope_aurantia_s_000308.png,79,13
flounder_s_001779.png,32,1
adam_s_002034.png,46,14
common_opossum_s_000023.png,64,12
chalice_s_001706.png,28,3
tank_s_000640.png,85,19
plaice_s_000550.png,32,1
sunflower_s_000444.png,82,2
snake_s_000451.png,78,15
keyboard_s_000055.png,39,5
orchid_s_000878.png,54,2
cup_s_001227.png,28,3
raccoon_s_002187.png,66,12
rabbit_s_001952.png,65,16
seal_s_001343.png,72,0
chimp_s_002067.png,21,11
opossum_s_001219.png,64,12
poppy_s_001961.png,62,2
seal_s_000038.png,72,0
macoun_s_000065.png,0,4
banded_gecko_s_000650.png,44,15
beetle_s_000229.png,7,7
footbridge_s_000052.png,12,9
cattle_s_001978.png,19,11
male_child_s_000374.png,11,14
elephant_s_002362.png,31,11
saucer_s_001505.png,61,3
spider_s_000009.png,79,13
lobster_s_000715.png,45,13
tram_s_000475.png,81,19
spider_s_000773.png,79,13
black_woman_s_000982.png,98,14
lion_cub_s_000553.png,43,8
man_s_000436.png,46,14
numbfish_s_000023.png,67,1
squirrel_s_001451.png,80,16
divided_highway_s_001338.png,68,9
sorex_araneus_s_000172.png,74,16
motorcycle_s_001856.png,48,18
streetcar_s_001848.png,81,19
wardrobe_s_000359.png,94,6
telephone_set_s_001471.png,86,5
step_rocket_s_000566.png,69,19
keyboard_s_000991.png,39,5
shark_s_000459.png,73,1
baby_s_000449.png,2,14
cain_s_000179.png,46,14
mount_s_000197.png,49,10
hedgehog_s_000032.png,63,12
panthera_leo_s_000716.png,43,8
butterfly_s_000777.png,14,7
alp_s_002103.png,49,10
ring_road_s_000322.png,68,9
